#,File,Line(.md)_or_UUID,Finding,Category,Severity,Evidence,Status
1,output/pathways.json,2106ad7d / 44727906 / 4403dbdd / 200f57af / 375eff4f,"Pointer integrity failure: 10 step reaction_uuid values in 5 pathway records do not exist in reactions.json, so those 5 routes cannot be continuity-checked at all. The missing pointers are exactly the opening arrow of composite steps (vi)/(vi') and Scheme Steps 1-6, which reactions.json deliberately merged into Step (v)/(v') and Steps 1-7 respectively (see the note on reaction 485c98c4: ""the bare (v) and the specified (v-1) are the same transformation, so they are one record and not two""). pathways.json kept the pre-merge uuids.",pointer-integrity,High,"Absent from reactions.json (69 records, all uuids unique): 18fcb716-b85a-5042-84fc-0ac2279a4258 ""Claims_Step (vi) Arrow 1"" (in pathway 2106ad7d); b8a68fdd-f553-505b-8456-c5b35db20394 ""Claims_Step (vi') Arrow 1"" (44727906); a2c3d3c2-ed2d-54f4-a008-ec5ffba2fc02 (4403dbdd); c816823f-8188-5884-91d5-0ba0c6ebd140 (200f57af); cc73bbd2-f914-587d-bd71-1f3e1242b207, 90a8167f-442b-56d2-8307-ab98d1bd0c13, 6bf1c99b-5a5d-5cd8-85f0-c1a7ca4ac420, 5ef82b16-d7a5-58c7-8b48-36b52aab5f9b, 95483880-8bed-5b5c-811c-536e77dabbc8, 43f0ec5d-8655-5780-a6af-9a115cf7aab2 ""Preparation Routes and General Embodiments_Scheme Step 1-6"" (375eff4f). Schemes drawn at .md lines 612, 614, 618, 620.",open
2,output/reactions.json,92025cd1 / 40f23744 / 96c03310 (+8 more),"The formula (VIII) enol ester is given tembotrione's SMILES in 11 product records, so the closing rearrangement step becomes a null transformation and the (VIII)->target junction of every route cannot be verified by structure. Name-level continuity still holds, which is what masks it. This is NOT the settled ""molecular formula is never an identity key"" convention: the SMILES strings themselves are byte-identical, and the .md keeps the two structures distinct.",broken-chain,High,"Background_Scheme A Step 11 (92025cd1) and Scheme B Step 11 (40f23744) have product_smiles identical to a component of their own reactant_smiles (CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F). Example 8_Step 2 (96c03310) emits that same tembotrione SMILES for product 式(VIII)化合物 while Example 8_Step 3 (91c1ac25) consumes the correct ester SMILES CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F. Same pattern in 178c1927, 87794399, 9ea9bad6, 86d4e45a, e3bea5de, f98d37f7, 98968825, 14a03521, d217e56a, 269ed2b1. .md line 65 distinguishes them by InChIKey: ester OBAMHTWSCBVWGB-UHFFFAOYSA-N vs tembotrione IUQAXCIUEPFPSF-UHFFFAOYSA-N. pathways.json node 69f81fcc carries the correct ester SMILES, so the two files disagree.",open
3,output/pathways.json,34b4af1a / 375eff4f,"Intermediate mislabeled as the product: both records list ""tembotrione"" as an intermediate and omit the formula (VIII) ester, which is the actual isolated species between their last two steps. The target therefore appears as its own precursor and the (VIII) node vanishes from the chain, so a reader cannot tell that step N's product feeds step N+1. This is the one place where the working copy genuinely degraded the gold identifiers rather than merely relabeling them.",ksm-intermediate-product-mislabel,High,"Pathway 34b4af1a intermediates[5] = ""tembotrione"" (gold pathways.json had 式(VIII)的酯化合物); its steps are Step 8 (98968825, product 式(VIII)的酯化合物) then Step 9 (a16c5399, reactant 式(VIII)的酯化合物). Pathway 375eff4f intermediates[7] = ""tembotrione"" identically, between Scheme Step 8 (14a03521) and Scheme Step 9 (1b9b71fe). Both records also declare product = tembotrione.",open
4,output/pathways.json,212a3eff,"Route does not terminate: product is null, so the Example 11 record fails the termination test and is unusable as a route. It also contradicts reactions.json, whose Example 11 reaction does carry a product. The null is flagged rather than silent, and the .md states only an upper-bound yield, so this is a defensible reading of the patent text but not of the settled convention that Ex11's product is the (VIII) ester recorded as INFERRED.",termination,Medium,"Pathway 212a3eff has ""product"": null while its final step is reaction e7e9f179 (Example 11_Step 1) whose product_name is ""ester compound of formula (VIII)"" with product_smiles CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F. The record's honest_uncertainty_flags contain ""missing_product_in_chain"" and ""product_not_stated"". .md lines 546-549 give the example with ""yield below 10%, unsatisfactory"" and no isolated product.",open
5,output/pathways.json,cc1e26c3,"Reagent preparation counted as a synthesis route. The record is a single non-chaining reaction making a reaction reagent, not the target and not a declared intermediate of the invention (formulae (I)-(VIII)), so it fails continuity, termination and the KSM/real-chemistry test as a route while still being a legitimate reaction record.",non-route-counted,Medium,"Pathway cc1e26c3: ksm 2,2,2-trifluoroethanol, intermediates [], product identifier ""CF3CH2OM"" with smiles null and smiles_null_reason ""Markush: M is a variable metal""; single step reaction 19c94853 (Preparation Routes and General Embodiments_Step 6); tags carry chain_length:1. The alkoxide preparation is described at .md lines 314-315 as a way of making the reagent for step (iv), not as a route step.",open
6,output/pathways.json,30277b40 / 774d7505,"Duplicate routes not merged: the two scope=patent records have ordered reaction_uuid sets byte-identical to two scope=section records, so by the route-identity rule they are the same route restated, not distinct performed runs. They also carry section_label = null, so they name no context of their own.",duplicate-route,Medium,"Pathway 30277b40 (scope=patent, section_label=null) has the same 9 ordered reaction_uuids as 89f0ac2c (scope=section, Example 8): 1b237771, 29a8bb4d, ddfabc54, 8b3a6615, 56ca3a32, a989fdfa, 44fbbc56, 96c03310, 91c1ac25. Pathway 774d7505 has the same 6 ordered reaction_uuids as 3c9ef902 (Example 10): 1b237771, 29a8bb4d, ddfabc54, 8b3a6615, 56ca3a32, 7614c960.",open
7,output/pathways.json,d52744f8 / d508c33a / f1e09efd / 2b57ff6a / 475c64bd / 34b4af1a,"Pathway steps carry reactions.json's section-level step_index instead of a pathway ordinal, and the step dict has no pathway-local ordering field. In 6 records ascending step_index disagrees with the chemically correct list order, so any consumer that sorts steps by step_index reconstructs the route backwards.",step-ordering,Medium,"Pathway d52744f8 step_index sequence is [3,4,5,6,1] while the list order is Claims_Step (i), (ii), (iii), (iv), (v) - sorting by step_index puts Step (v) first. Same in d508c33a [3,4,5,6,2], f1e09efd [3,4,5,6,1], 2b57ff6a [3,4,5,6,2], 475c64bd [2,1,3,4,5,7], 34b4af1a [2,1,3,4,5,8,9]. Step dict keys include step_index and step_label but no pathway ordinal.",open
8,output/pathways.json,5e048784 / 1f72f774 / b219ef98,"Compound (VI) is split across three compound_uuids and the three route families each use a different one, so routes cannot be stitched on compound_uuid: the 8 Claims/Summary routes start from a KSM uuid that no Example route ever reaches, even though Example 1 prepares exactly that substance. I know the compound (VI) x3 split is a deliberate convention kept because reactions.json references each string; logging it only because it breaks route-level joining, which is the case the convention notes invite.",Convention,Medium,"compounds.json holds three records with smiles CSc1cccc(Cl)c1C: 5e048784 (identifier ""CSc1cccc(Cl)c1C""), 1f72f774 (identifier ""compound of formula (VI)""), b219ef98 (identifier ""1-chloro-2-methyl-3-(methylsulfanyl)benzene""). Pathway KSM uuid 5e048784 is used by d52744f8, d508c33a, 2106ad7d, 44727906, f1e09efd, 2b57ff6a, 4403dbdd, 200f57af; uuid 1f72f774 appears as an intermediate in the 12 Example/Preparation-Routes records; b219ef98 only in the 2 Background records.",open
9,output/pathways.json,ece9f8ed / 874ed5d2,"The two prior-art (Background) routes have their last three intermediates relabeled with the invention's formula numbering ((V), (VII), (VIII)), which the .md never applies to the cited DE19846792A1 / CN200510030163.5 schemes. Identity is not lost (aliases and SMILES resolve), but the labels are not patent-literal for that section and read as if the prior art used the invention's numbering.",patent-literality,Low,"Pathway ece9f8ed intermediates[7..9] = ""compound of formula (V)"", ""compound of formula (VII)"", ""ester compound of formula (VIII)""; gold pathways.json had the IUPAC names 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoic acid / benzoyl chloride / 3-oxocyclohex-1-en-1-yl benzoate, which are also the product_name values in reactions 06549bbf, 076cc686, 178c1927. Identical in 874ed5d2. The formula numbering is defined for the invention at .md line 231 and lines 316, 339, 343; the prior-art schemes are at .md lines 63-65 and 69-74.",open
10,output/pathways.json,1b2cd03c (vs reaction a989fdfa),"Asymmetric treatment of two alternative preparations of the same declared intermediate: Example 7's run to compound (V) gets its own terminal pathway record, but Example 6's run to the same compound (V) exists only as an internal step of the Example 8 route, so counting ""routes to compound (V)"" from pathways.json returns 1 where the patent worked 2. The cause is precursor_step wiring (Example 8 declares Example 6 as its precursor, leaving Example 6 non-maximal) rather than a wrong judgement, but the two examples are peers in the patent.",distinct-route-count,Low,"Reaction a989fdfa (Example 6_Step 1, .md lines 489-494, yield 81.13%) appears only inside pathways 89f0ac2c and 30277b40; reaction cd8c5b0b (Example 7_Step 1, .md lines 499-507, yield 67.57%) terminates pathway 1b2cd03c. Both are 式(IV)化合物 + CO + water -> 式(V)化合物. .md line 489 titles Example 6 ""Preparation 1 of the carboxylic acid compound of formula (V)"" and line 499 titles Example 7 ""Preparation 2"".",open
11,output/pathways.json,d52744f8 / d508c33a / f1e09efd / 2b57ff6a / 475c64bd,"Five records are strict prefixes of longer records in the same section, which is why len(pathways.json)=23 exceeds the 15 route-shaped maximal chains derivable from reactions.json. Recorded as Info, not a defect: each terminates at a compound the patent explicitly declares an intermediate and separately claims as a standalone process, so they satisfy the termination test.",distinct-route-count,Info,"d52744f8 (ends Claims_Step (v), product compound of formula (V)) is a prefix of 2106ad7d; d508c33a (ends Claims_Step (v')) is a prefix of 44727906; f1e09efd and 2b57ff6a are the Summary equivalents; 475c64bd (ends Preparation Routes Step 7) is a prefix of 34b4af1a/375eff4f. .md lines 343-344 declare formula (V) and the formula (VIII) ester ""important preparation intermediates for tembotrione""; claim 1 at .md lines 553-557 claims step (v) or (v') alone.",open
12,output/pathways.json,all 23 pathway_uuids,"Every route-level scoring and rollup field is null in all 23 records, so no route can be ranked, compared or filtered on quality even though step-level yields are correctly propagated. Likely honest rather than lost: most steps carry no printed yield, so an overall yield cannot be computed without inventing numbers.",completeness,Info,"overall_yield_pct, overall_purity_pct, confidence_score, feasibility_score, cost_score, green_score, safety_score, yield_score, byproduct_score, all_steps_atom_map_confident, min_transformation_reaction_count, min_common_literature_journal_count and min_common_literature_patent_count are all null in 23/23 records. By contrast step yield_pct is populated and matches reactions.json (e.g. pathway 89f0ac2c step Example 8_Step 3 yield_pct 76.59, .md line 515; pathway 3c9ef902 step Example 10_Step 1 yield_pct 64.67, .md line 542).",open
13,output/pathways.json,c65c13cc / 1b2cd03c / 89f0ac2c / e242d217 / 63fb71ba / 3c9ef902 / 212a3eff,"Checked and cleared, recorded so the absence is on the record: 7 Example records draw steps from several Example sections, but every link is declared by precursor_step and the patent's Examples 1-11 are one sequential worked route, so this is a single context and not stitching across unrelated sections. No instance of illegitimate cross-section stitching was found, and no reaction carries non_synthetic = true.",single-context,Info,"Pathway 89f0ac2c (declared section Example 8) runs steps from Examples 1, 2, 3, 4, 5, 6, 8; reactions.json confirms the chain by precursor_step: 29a8bb4d ""Example 1::Step 1"", ddfabc54 ""Example 2::Step 1"", 8b3a6615 ""Example 3::Step 1"", 56ca3a32 ""Example 4::Method 1"", a989fdfa ""Example 5::Step 1"", 44fbbc56 ""Example 6::Step 1"". All 69 reactions have non_synthetic = false and all precursor_step references resolve.",open
14,output/pathways.json,all 23 pathway_uuids,"Checked and cleared: reaction coverage is complete and target tagging is correct. Every reactions.json record sits inside at least one pathway, so there are no orphan synthetic reactions, and no record shows a wrong target tag.",coverage-and-tags,Info,"Oracle A: 0 of 69 reaction_uuids in reactions.json are unused by pathways.json. Tag check: the active_ingredient/triketone tag pair appears on exactly the 10 records whose product is tembotrione (ece9f8ed, 874ed5d2, 2106ad7d, 44727906, 4403dbdd, 200f57af, 34b4af1a, 375eff4f, 89f0ac2c, 3c9ef902, 30277b40, 774d7505) and on none of the intermediate-terminating records. All pathway ksm/intermediate/product nodes resolve in compounds.json by compound_uuid, the only exception being the null product of 212a3eff.",open
