#,File,Line(.md)_or_UUID,Finding,Category,Severity,Evidence,Status
1,output/pathways.json,pathway_uuid 481032f2-c5d1-5d8d-bd72-06cafd2079df; 234c14bb-acfe-5b81-bfb6-06ba7c34233a,"8 pathway steps reference reaction_uuids that do not exist in reactions.json. Both 'Summary of the Invention' pathway records are built entirely on non-existent reactions: reactions.json contains no 'Summary of the Invention' section at all (its sections are Background, Claims, Comparative Example, Example 1-4). These two records are therefore unverifiable against the reaction layer.",Pointer integrity,High,"Dangling reaction_uuids: daf14968-871a-5238-8964-1eb10961112a, 0e0821e5-01f6-5804-b040-e3302059d780, be62037e-f035-558f-aeb3-77f4b887ae60 (record 481032f2, .md lines 115-128 prose) and f18caf46-d26f-5115-93b3-14a0256ad567, ca7dd244-a1b4-5072-9dd2-4695077eb7f7, cbc748ef-4933-51f1-87c5-beafbf2d9713, b9e010f3-0977-5269-9875-8933ed83681f, da4a724b-8966-5f5b-97ef-1651e38d92f2 (record 234c14bb, .md line 152 scheme). Oracle: 8 of 36 step pointers unresolved.",open
2,output/reactions.json + output/pathways.json,reaction_uuid 602452ff-...(Example 1_Step 2a); 3dd79255-...(Example 1_Step 3a); 6aee1824-...(Example 1_Step 3b),"17 synthetic reactions in reactions.json are covered by no pathway step. Root cause: reactions.json was re-split to transformation level on 2026-09-01 (Step 2 -> 2a/2b, Step 3 -> 3a/3b/3c) but pathways.json still carries the pre-split roll-up, which cites only the terminal sub-step uuid of each numbered step. The orphans are the 2a / 3a / 3b sub-steps of Claims, Comparative Example and Examples 1-4. NOTE: the split itself is a deliberate gold convention and must not be reverted; the defect is that pathways.json was not regenerated after it.",Coverage,High,"Orphans (17): Claims_Step 2a/3a/3b, Comparative Example_Step 2a/3a, Example 1_Step 2a/3a/3b, Example 2_Step 2a/3a/3b, Example 3_Step 2a/3a/3b, Example 4_Step 2a/3a/3b. All have non_synthetic=false so none is excludable. Split provenance: notes field of Example 4_Step 2a and tag 'split:transformation-level-gold-2026-09-01'. Oracle: 28 of 45 reactions covered.",open
3,output/pathways.json,reaction_uuid 09e6407f (cited by pathway 3f019f3d); 6becbeed (cited by pathway 1fef6ab6),"15 pathway steps carry an embedded payload that contradicts the reactions.json record of the same reaction_uuid. The pathway step is a roll-up of two or three sub-steps but keeps the uuid of only the last one, then rewrites reactant_names, reaction_id and step_label to describe the whole roll-up. Any consumer joining pathways.json to reactions.json on reaction_uuid gets two different reactions for one id.",Data integrity,High,"Pathway 3f019f3d step 'Example 1_Step 3' cites 09e6407f with reactant_names ['2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoic acid','thionyl chloride','cyclohexane-1,3-dione'] and step_label 'Step 3'; reactions.json 09e6407f is 'Example 1_Step 3c', step_label 'Step 3c', reactant_names ['3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate']. Same divergence on 1fef6ab6/6becbeed, 228ae154/bb2d8f40+d2a2720c, a36d3735/fa39f6dd+c8aa4308, 7d6857d7/26809b4a+32410b31, 73cb4b9a/ba8bff6a+b8f3aabe, a0f0bd17/2fbc8555+09e6407f, b584a56d/61b07ad1.",open
4,output/pathways.json,"pathway_uuid a0f0bd17 (scope=patent) vs 3f019f3d (scope=section, 'Example 1')","Duplicate route not merged. The patent-level record a0f0bd17 is field-identical to the Example 1 section record 3f019f3d except for 'scope' and 'section_label': same ordered reaction-id set, same overall_yield_pct 69.88, same overall_purity_pct 98.6, same scores. It is a clone of one Example rather than a merged canonical route, and no record in the file carries source_sections or merged_from, so the seven other restatements of the same invention route (Claims, Summary prose, Summary scheme, Examples 1-4) are silently dropped instead of merged.",Duplicate/merge,Medium,"a0f0bd17 steps = [45b3eaf7, 2fbc8555, 09e6407f]; 3f019f3d steps = [45b3eaf7, 2fbc8555, 09e6407f] (identical ordered set). Field diff between the two records, excluding pathway_uuid/section_label, is exactly ['scope']. 'source_sections' and 'merged_from' absent from all 14 records. Invention route restated at .md lines 47-59 (claim 1), 115-128 (summary), 152 (scheme), 181-201 (Ex 1), 211-229 (Ex 2), 240-257 (Ex 3), 268-286 (Ex 4).",open
5,output/pathways.json,"pathway_uuid b584a56d-... (Background); reaction_uuid ee54749a, 61b07ad1","Broken chain in the CN104292137A prior-art route: step N product is not a reactant of step N+1 at either link. Background_Step 3 produces methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate, but Background_Step 4 lists only ['sodium 2,2,2-trifluoroethoxide'] as reactant; Background_Step 4 produces the benzoic acid, but Background_Step 5 lists only ['cyanoacetone']. The pathway copy of step 5 additionally drops the enol-ester reactant that reactions.json 61b07ad1 does carry, and the acid -> enol-ester acylation step is missing entirely from the chain.",Broken chain,Medium,"reaction_uuid ee54749a (Background_Step 4) reactant_names=['sodium 2,2,2-trifluoroethoxide'], reactant_smiles=null; 61b07ad1 pathway payload reactant_names=['cyanoacetone'] vs reactions.json ['3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate','cyanoacetone']. Source text: .md lines 100-101. Self-flagged: honest_uncertainty_flags contains 'truncated_chain' and 'missing_reactant_in_chain'.",open
6,output/pathways.json,pathway_uuid e019376d-... (Background); reaction_uuid 3ab9ac94,"Broken chain in the CN106008290A prior-art route: the final step has no reactants at all (reactant_names = []), so the benzoic acid made in Background_Step 6 is not consumed and nothing connects to the tembotrione product. A two-step record whose second step has an empty reactant list is not a chained route.",Broken chain,Medium,"reaction_uuid 3ab9ac94 (Background_Step 7) reactant_names=[], reactant_smiles=null, validation_flags=['missing_reactant','no_conditions']; predecessor 0f3b5574 product_name='2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid'. Source text: .md lines 102-103.",open
7,output/pathways.json,"pathway_uuid 9cc042b7-... (Background); reaction_uuid 8fbbe7f3, b5153398","Broken chain in the Nongyao vol.56(5) prior-art route at both links. Background_Step 8 produces the bromide, but Background_Step 9 lists only ['sodium methoxide'] as reactant and no trifluoroethanol, so a sodium-methoxide-only reactant set is shown producing a 2,2,2-trifluoroethoxy ether; Background_Step 10 has reactant_names = [] so the chain to tembotrione is unconnected.",Broken chain,Medium,"reaction_uuid 8fbbe7f3 (Background_Step 9) reactant_names=['sodium methoxide'], product_name='2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid'; b5153398 (Background_Step 10) reactant_names=[]. Source text .md lines 107-108 states sodium methoxide was used as a raw material alongside trifluoroethanol.",open
8,output/pathways.json,pathway_uuid a0c80e15-...; 9d51fc2b-... (both Background),"Two lone non-chaining reactions promoted to pathway records. Each record holds exactly one step, ksm=null and intermediates=[], and its product is the bromide intermediate. Under the route definition a single non-chaining reaction is a step, not a route. Each is only the bromination step of a prior-art route whose remaining steps the patent does not describe, so neither is a route and both inflate the record count.",Not-a-route,Medium,"a0c80e15: one step, reaction_uuid 27e55382 (Background_Step 1), NBS bromination attributed in its notes to Bayer CN1323292A, .md lines 96-97. 9d51fc2b: one step, reaction_uuid a7bd8c44 (Background_Step 2), NBS bromination attributed to Heilongjiang University CN105601548A, .md lines 98-99. Both records: ksm=null, intermediates=[], honest_uncertainty_flags includes 'truncated_chain'.",open
9,output/pathways.json,pathway_uuid a0c80e15-...; 9d51fc2b-...; b584a56d-... (Background),"ksm mislabeled: all five Background records carry ksm=null with honest_uncertainty_flag 'ksm_not_stated', but the patent names the starting material for three of the five prior-art references. The flag is factually wrong for those three and the KSM slot is recoverable from the .md.",KSM mislabeled,Medium,"2,6-dichlorotoluene stated at .md lines 96-97 (Bayer CN1323292A -> record a0c80e15); 3-chloro-2-methylaniline at .md lines 98-99 (Heilongjiang CN105601548A -> record 9d51fc2b); 2-chlorotoluene at .md lines 100-101 (Wuhan Institute of Technology CN104292137A -> record b584a56d). All three records have ksm=null and honest_uncertainty_flags containing 'ksm_not_stated'. (Records e019376d and 9cc042b7 genuinely state no KSM at .md lines 102-103 and 107-108.)",open
10,output/pathways.json,pathway_uuid a0f0bd17-...,"section_label is null on the only scope='patent' record while all three of its steps carry section_label 'Example 1'. This breaks the record's own scope/section_label keying and leaves the record unattributable to any .md line, so it cannot be traced back to source text on its own.",Provenance,Medium,"Record a0f0bd17: scope='patent', section_label=null; its steps report section_label ['Example 1','Example 1','Example 1'] and reaction_ids Example 1_Step 1/2/3. All other 13 records have scope='section' with a non-null section_label.",open
11,output/pathways.json vs output/reactions.json,len(json.load(open('output/pathways.json')))=14 vs derived 9,"Distinct-route count disagrees with the reaction layer. Deriving routes from reactions.json alone (group by section_label, chain on precursor_step, dedup by ordered reaction-id set) yields 9 multi-step chains, or 11 groups if the two lone Background reactions are counted. pathways.json holds 14. The 3-record excess is exactly: 2 'Summary of the Invention' records with no backing reactions (finding 1) plus 1 patent-level clone of Example 1 (finding 4). Chemically the patent describes far fewer: one invention route restated eight times, one Comparative Example route, and five prior-art references of which only three are chained.",Route count,Medium,"Derived chains: Background [3,4,5], [6,7], [8,9,10] plus lone [1] and [2]; Claims [1,2a,2b,3a,3b,3c]; Comparative Example [1,2a,2b,3a,3b]; Example 1/2/3/4 each [1,2a,2b,3a,3b,3c]. All 9 chains have distinct ordered reaction-id sets so none dedups away. Invention route restatements: .md lines 47-59, 115-128, 152, 181-201, 211-229, 240-257, 268-286. Comparative route: .md lines 298-312. Prior art: .md lines 96-97, 98-99, 100-101, 102-103, 107-108.",open
